id,name,category,source,lat,lon,wikidata_qid,matched_wikipedia_title,grounding_text,grounding_distance_m,boundary_municipality,grounding_status
overture:Museu Oi Futuro - Museu das Telecomunisações RJ:-22.91971:-43.17184,Museu Oi Futuro - Museu das Telecomunisações RJ,museum,overture,-22.919710159301758,-43.17184066772461,,,,,,no_match
overture:Museu da Cidade:-22.90114:-43.17701,Museu da Cidade,art_museum,overture,-22.90114402770996,-43.177005767822266,,,,,,no_match
overture:Centro de Tradições Ylê Asè Egi Omim:-22.93820:-43.20837,Centro de Tradições Ylê Asè Egi Omim,cultural_center,overture,-22.938201904296875,-43.20836639404297,,,,,,no_match
overture:Centro Cultural Municipal Laurinda Santos Lobo:-22.92002:-43.18856,Centro Cultural Municipal Laurinda Santos Lobo,cultural_center,overture,-22.920024871826172,-43.188560485839844,,,,,,no_match
overture:Largo do Guimaraes:-22.92141:-43.18598,Largo do Guimaraes,landmark_and_historical_building,overture,-22.921405792236328,-43.185977935791016,,,,,,no_match
overture:Museu do Chocolate:-22.90133:-43.20309,Museu do Chocolate,museum,overture,-22.901330947875977,-43.203086853027344,,,,,,no_match
wikidata:Igreja Nossa Senhora Mãe dos Homens (Rio de Janeiro):-22.90177:-43.17839,Igreja Nossa Senhora Mãe dos Homens (Rio de Janeiro),heritage_site,wikidata,-22.901768,-43.178394,Q55264666,,,,,no_match
overture:Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro:-22.90641:-43.17948,Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro,museum,overture,-22.906410217285156,-43.17947769165039,,,,,,no_match
overture:Portal da Antiga Academia de Belas Artes:-22.96601:-43.22652,Portal da Antiga Academia de Belas Artes,landmark_and_historical_building,overture,-22.966007232666016,-43.22651672363281,,,,,,no_match
overture:Centro Cultural Jerusalém:-22.88164:-43.27538,Centro Cultural Jerusalém,cultural_center,overture,-22.881643295288086,-43.27537536621094,,,,,,no_match
"overture:Júpiter, Quinto Planeta del Sistema Solar.:-22.86302:-43.44258","Júpiter, Quinto Planeta del Sistema Solar.",monument,overture,-22.86302375793457,-43.44258117675781,,,,,,no_match
overture:Museum Dom João VI:-22.86241:-43.22301,Museum Dom João VI,art_museum,overture,-22.86240577697754,-43.22301483154297,,,,,,no_match
overture:Instituto Casa Roberto Marinho (ICRM):-22.93993:-43.20409,Instituto Casa Roberto Marinho (ICRM),art_museum,overture,-22.93992805480957,-43.20408630371094,,,,,,no_match
